,Subject,Age,Gender,Handedness,Shape,Label,Matching,Identity,Morality,Response,Bin,RT_ms,RT_sec,ACC,Country
92,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,1,755,0.755,1,China
93,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,n,1,880,0.88,0,China
94,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,2,712,0.713,1,China
95,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,2,781,0.781,1,China
96,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,2,908,0.908,1,China
97,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,3,857,0.857,1,China
98,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,3,721,0.721,1,China
99,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,n,3,880,0.88,0,China
100,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,4,824,0.824,1,China
101,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,4,810,0.81,1,China
102,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,4,776,0.776,1,China
103,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,5,615,0.615,1,China
104,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,5,622,0.622,1,China
105,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,5,548,0.548,1,China
106,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,n,1,645,0.645,0,China
107,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,n,1,703,0.703,0,China
108,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,1,617,0.617,1,China
109,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,2,809,0.809,1,China
110,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,n,2,950,0.95,0,China
111,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,2,664,0.664,1,China
112,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,3,608,0.608,1,China
113,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,NA,3,1042,1.042,-1,China
114,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,3,628,0.628,1,China
115,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,4,685,0.685,1,China
116,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,4,760,0.76,1,China
117,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,4,799,0.799,1,China
118,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,n,5,623,0.623,0,China
119,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,5,782,0.782,1,China
120,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,5,780,0.78,1,China
121,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,1,823,0.823,1,China
122,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,1,663,0.663,1,China
123,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,1,485,0.485,1,China
124,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,2,504,0.504,1,China
125,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,2,584,0.584,1,China
126,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,2,591,0.591,1,China
127,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,3,704,0.704,1,China
128,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,3,663,0.663,1,China
129,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,3,640,0.64,1,China
130,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,4,642,0.642,1,China
131,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,4,663,0.663,1,China
132,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,4,694,0.694,1,China
133,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,5,737,0.737,1,China
134,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,5,731,0.731,1,China
135,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,5,655,0.655,1,China
136,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,1,901,0.901,1,China
137,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,1,696,0.696,1,China
138,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,1,815,0.815,1,China
139,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,2,713,0.713,1,China
140,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,2,792,0.792,1,China
141,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,2,651,0.651,1,China
142,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,n,3,809,0.809,0,China
143,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,3,662,0.662,1,China
144,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,3,903,0.903,1,China
145,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,n,4,742,0.742,0,China
146,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,4,501,0.501,1,China
147,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,4,660,0.66,1,China
148,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,5,975,0.975,1,China
149,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,5,753,0.753,1,China
150,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,5,517,0.517,1,China
151,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,1,630,0.63,1,China
152,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,1,694,0.694,1,China
153,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,1,914,0.914,1,China
154,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,2,657,0.657,1,China
155,7302,22,female,R,moralSelf,moralSelf,Matching,Self,Good,m,2,711,0.711,1,China
