,Subject,Gender,Age,Matching,Origin_Identity,English_Identity,Identity,Mood,Arouse,Valence,Session,RT_ms,RT_sec,ACC,Country
7286,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,523,0.523,1,China
7287,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,548,0.548,1,China
7288,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,538,0.538,1,China
7289,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,548,0.548,0,China
7290,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,868,0.868,1,China
7291,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,493,0.493,1,China
7292,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,588,0.588,1,China
7293,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,493,0.493,1,China
7294,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,714,0.714,1,China
7295,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,514,0.514,1,China
7296,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,566,0.566,1,China
7297,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,643,0.643,0,China
7298,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,704,0.704,1,China
7299,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,544,0.544,0,China
7300,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,533,0.533,0,China
7301,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,416,0.416,1,China
7302,29,female,21,Nonmatching,Stranger,Stranger,Stranger,serenity,3,5,S1,576,0.576,1,China
7303,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,543,0.543,1,China
7304,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,491,0.491,1,China
7305,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,616,0.616,1,China
7306,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,601,0.601,1,China
7307,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,402,0.402,1,China
7308,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,365,0.365,0,China
7309,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,487,0.487,1,China
7310,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,682,0.682,1,China
7311,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,663,0.663,1,China
7312,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,439,0.439,1,China
7313,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,528,0.528,1,China
7314,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,490,0.49,0,China
7315,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,487,0.487,1,China
7316,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,451,0.451,1,China
7317,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,537,0.537,1,China
7318,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,740,0.74,1,China
7319,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,736,0.736,0,China
7320,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,497,0.497,1,China
7321,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,538,0.538,1,China
7322,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,659,0.659,1,China
7323,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,514,0.514,1,China
7324,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,607,0.607,1,China
7325,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,532,0.532,1,China
7326,29,female,21,Nonmatching,Stranger,Stranger,Stranger,depression,1,3,S2,424,0.424,1,China
7327,29,female,21,Nonmatching,Stranger,Stranger,Stranger,happy,7,8,S3,485,0.485,1,China
