,Subject,Label,Matching,Origin_Identity,English_Identity,Identity,RT_ms,RT_sec,ACC,Country
257,1,Friend,Nonmatching,Friend,Friend,Close,559,0.559,1,United Kingdom
258,1,Friend,Nonmatching,Friend,Friend,Close,584,0.584,1,United Kingdom
259,1,Friend,Nonmatching,Friend,Friend,Close,507,0.507,1,United Kingdom
260,1,Friend,Nonmatching,Friend,Friend,Close,619,0.619,1,United Kingdom
261,1,Friend,Nonmatching,Friend,Friend,Close,539,0.539,1,United Kingdom
262,1,Friend,Nonmatching,Friend,Friend,Close,437,0.437,1,United Kingdom
263,1,Friend,Nonmatching,Friend,Friend,Close,539,0.539,1,United Kingdom
264,1,Friend,Nonmatching,Friend,Friend,Close,582,0.582,1,United Kingdom
265,1,Friend,Nonmatching,Friend,Friend,Close,370,0.37,1,United Kingdom
266,1,Friend,Nonmatching,Friend,Friend,Close,515,0.515,1,United Kingdom
267,1,Friend,Nonmatching,Friend,Friend,Close,521,0.521,1,United Kingdom
268,1,Friend,Nonmatching,Friend,Friend,Close,496,0.496,1,United Kingdom
269,1,Friend,Nonmatching,Friend,Friend,Close,456,0.456,1,United Kingdom
270,1,Friend,Nonmatching,Friend,Friend,Close,581,0.581,1,United Kingdom
271,1,Friend,Nonmatching,Friend,Friend,Close,622,0.622,1,United Kingdom
272,1,Friend,Nonmatching,Friend,Friend,Close,505,0.505,1,United Kingdom
273,1,Friend,Nonmatching,Friend,Friend,Close,331,0.331,1,United Kingdom
274,1,Friend,Nonmatching,Friend,Friend,Close,701,0.701,1,United Kingdom
275,1,Friend,Nonmatching,Friend,Friend,Close,570,0.57,1,United Kingdom
276,1,Friend,Nonmatching,Friend,Friend,Close,404,0.404,1,United Kingdom
277,1,Friend,Nonmatching,Friend,Friend,Close,500,0.5,1,United Kingdom
278,1,Friend,Nonmatching,Friend,Friend,Close,442,0.442,1,United Kingdom
279,1,Friend,Nonmatching,Friend,Friend,Close,538,0.538,1,United Kingdom
280,1,Friend,Nonmatching,Friend,Friend,Close,902,0.902,1,United Kingdom
281,1,Friend,Nonmatching,Friend,Friend,Close,727,0.727,1,United Kingdom
282,1,Self,Nonmatching,Self,Self,Self,749,0.749,1,United Kingdom
283,1,Self,Nonmatching,Self,Self,Self,781,0.781,1,United Kingdom
284,1,Self,Nonmatching,Self,Self,Self,839,0.839,1,United Kingdom
285,1,Self,Nonmatching,Self,Self,Self,678,0.678,1,United Kingdom
286,1,Self,Nonmatching,Self,Self,Self,594,0.594,1,United Kingdom
287,1,Self,Nonmatching,Self,Self,Self,605,0.605,1,United Kingdom
288,1,Self,Nonmatching,Self,Self,Self,980,0.98,1,United Kingdom
289,1,Self,Nonmatching,Self,Self,Self,641,0.641,1,United Kingdom
290,1,Self,Nonmatching,Self,Self,Self,713,0.713,0,United Kingdom
291,1,Self,Nonmatching,Self,Self,Self,820,0.82,1,United Kingdom
292,1,Self,Nonmatching,Self,Self,Self,692,0.692,1,United Kingdom
293,1,Self,Nonmatching,Self,Self,Self,565,0.565,1,United Kingdom
294,1,Self,Nonmatching,Self,Self,Self,545,0.545,1,United Kingdom
295,1,Self,Nonmatching,Self,Self,Self,529,0.529,1,United Kingdom
296,1,Self,Nonmatching,Self,Self,Self,828,0.828,1,United Kingdom
297,1,Self,Nonmatching,Self,Self,Self,964,0.964,1,United Kingdom
298,1,Self,Nonmatching,Self,Self,Self,811,0.811,1,United Kingdom
299,1,Self,Nonmatching,Self,Self,Self,970,0.97,1,United Kingdom
300,1,Self,Nonmatching,Self,Self,Self,949,0.949,1,United Kingdom
301,1,Self,Nonmatching,Self,Self,Self,761,0.761,1,United Kingdom
302,1,Self,Nonmatching,Self,Self,Self,655,0.655,1,United Kingdom
303,1,Self,Nonmatching,Self,Self,Self,477,0.477,1,United Kingdom
304,1,Self,Nonmatching,Self,Self,Self,685,0.685,1,United Kingdom
305,1,Self,Nonmatching,Self,Self,Self,834,0.834,1,United Kingdom
306,1,Self,Nonmatching,Self,Self,Self,577,0.577,1,United Kingdom
307,1,Self,Nonmatching,Self,Self,Self,890,0.89,1,United Kingdom
308,1,Self,Nonmatching,Self,Self,Self,739,0.739,1,United Kingdom
309,1,Self,Nonmatching,Self,Self,Self,645,0.645,1,United Kingdom
310,1,Self,Nonmatching,Self,Self,Self,664,0.664,1,United Kingdom
311,1,Self,Nonmatching,Self,Self,Self,440,0.44,1,United Kingdom
312,1,Self,Nonmatching,Self,Self,Self,513,0.513,1,United Kingdom
313,1,Self,Nonmatching,Self,Self,Self,561,0.561,1,United Kingdom
314,1,Self,Nonmatching,Self,Self,Self,593,0.593,1,United Kingdom
315,1,Self,Nonmatching,Self,Self,Self,682,0.682,1,United Kingdom
316,1,Self,Nonmatching,Self,Self,Self,802,0.802,1,United Kingdom
317,1,Self,Nonmatching,Self,Self,Self,753,0.753,1,United Kingdom
318,1,Self,Nonmatching,Self,Self,Self,708,0.708,1,United Kingdom
319,1,Self,Nonmatching,Self,Self,Self,520,0.52,1,United Kingdom
320,1,Self,Nonmatching,Self,Self,Self,934,0.934,1,United Kingdom
321,1,Self,Nonmatching,Self,Self,Self,1014,1.014,1,United Kingdom
322,1,Self,Nonmatching,Self,Self,Self,488,0.488,1,United Kingdom
323,1,Self,Nonmatching,Self,Self,Self,724,0.724,1,United Kingdom
324,1,Self,Nonmatching,Self,Self,Self,517,0.517,1,United Kingdom
325,1,Self,Nonmatching,Self,Self,Self,792,0.792,1,United Kingdom
326,1,Self,Nonmatching,Self,Self,Self,817,0.817,1,United Kingdom
327,1,Self,Nonmatching,Self,Self,Self,770,0.77,1,United Kingdom
328,1,Self,Nonmatching,Self,Self,Self,579,0.579,1,United Kingdom
329,1,Self,Nonmatching,Self,Self,Self,641,0.641,1,United Kingdom
330,1,Self,Nonmatching,Self,Self,Self,581,0.581,1,United Kingdom
331,1,Self,Nonmatching,Self,Self,Self,700,0.7,1,United Kingdom
332,1,Self,Nonmatching,Self,Self,Self,566,0.566,1,United Kingdom
333,1,Self,Nonmatching,Self,Self,Self,481,0.481,1,United Kingdom
334,1,Self,Nonmatching,Self,Self,Self,564,0.564,1,United Kingdom
335,1,Self,Nonmatching,Self,Self,Self,617,0.617,1,United Kingdom
